Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,directions
Ultra Creamy Mashed Potatoes from Swanson,4.4,"Want to know a secret? Mashed potatoes cooked with chicken broth are extra flavorful! This savory side is perfectly smooth and creamy, with just the right amount of butter and cream for everyone to enjoy. These potatoes are delicious when served with your favorite Campbell's gravy.",15 mins,15 mins,30 mins,6,"6 Yukon Gold potatoes, peeled and cut into 1-inch pieces | 2 cups Swanson chicken broth | ½ cup light cream | 2 tablespoons butter | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/SXrdeM8ksAjzWtEF5iPoNPg4dE0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2558907-390823518e3b4773b4481983903c94eb.jpg,15.0,15.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",
Meatball Nirvana,4.6,"This beef meatball recipe is a compilation of many, many meatball recipes to finally achieve what I was looking for... Meatball Nirvana! Cover with your favorite red sauce and serve with pasta or in crusty garlic bread rolls.",20 mins,20 mins,40 mins,4,"1 pound extra lean ground beef | 1 small onion, diced | ½ cup seasoned bread crumbs | ⅓ cup skim milk | ¼ cup grated Parmesan cheese | 1 ½ tablespoons Worcestershire sauce | 1 ½ teaspoons Italian seasoning | ¾ teaspoon dried oregano | ¾ teaspoon crushed red pepper flakes | ½ teaspoon sea salt | ½ teaspoon garlic salt | 1 dash hot pepper sauce (such as Frank's RedHot®), or to taste",,20.0,20.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat an oven to 400 degrees F (200 degrees C).
- Place the beef into a mixing bowl, and season with salt, onion, garlic salt, Italian seasoning, oregano, red pepper flakes, hot pepper sauce, and Worcestershire sauce; mix well. Add the milk, Parmesan cheese, and bread crumbs. Mix until evenly blended, then form into 1 1/2-inch meatballs, and place onto a baking sheet.
- Bake in the preheated oven until no longer pink in the center, 20 to 25 minutes."
Papaya Boats,4.4,"Papayas stuffed with yogurt, raisins, strawberries, and walnuts are topped with honey. Choose ripe papayas with reddish-brown skin that is soft to the touch; avoid green papayas, as they are not yet ripe. Organic ingredients taste best!",15 mins,,15 mins,4,"1 cup fat-free plain yogurt | ¼ cup walnuts | ¼ cup raisins | 1 cup chopped fresh strawberries | 2 medium papayas, cut in half lengthwise and seeded | 2 tablespoons honey",https://www.allrecipes.com/thmb/guz4wJD0AO--TbfnfjMULu50R3Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/37285-cc52706d6be04d3bba8c737302f1fa4f.jpg,15.0,,15.0,0.0,,,,"- In a bowl, mix the yogurt, walnuts, and raisins. Fold in the strawberries. Spoon the mixture into the centers of the papaya halves. Drizzle with honey to serve."
Mushroom Pizza,5.0,"This mushroom pizza is special because roasting brings out the best in maitake mushrooms: Their petal-like edges go slightly crispy while the meatier center softens and deepens in flavor. When you pile them high on pizza, even carnivores won't miss the meat.",20 mins,25 mins,45 mins,4,"1 pound fresh pizza dough | flour for dusting | 4 tablespoons olive oil, divided | ½ pound cremini mushrooms, thinly sliced | ½ pound maitake mushrooms, broken into small clusters | 2 tablespoons chopped fresh oregano | 2 tablespoons fresh thyme leaves, plus more for garnish | ½ teaspoon kosher salt, divided | ¾ teaspoon freshly ground black pepper, divided, or more to taste | 1 (5 ounce) package fresh baby spinach | 1 cup whole milk ricotta cheese | ½ cup finely grated Pecorino Romano cheese | 2 cloves garlic, grated | 1 cup shredded part-skim mozzarella cheese | shaved Pecorino Romano cheese, for garnish",https://www.allrecipes.com/thmb/y0k7yViYaQ2iNocdt-AJm_Ku_qQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/White-Pizza-ae5ff40f51244bac877769ae0bd0718b.jpg,20.0,25.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat oven to 375 degrees.
- Separate dough into triangles.
- Pinch seams together.
- Toss sliced mushrooms in melted butter to coat.
- Arrane mushrooms on top of dough.
- Sprinkle with cheese and herbs.
- Bake 20 to 25 minutes."
Barbecued Beef Sandwiches,4.3,"This recipe came from a military wife almost 30 years ago (thanks Elise) and it couldn't be much easier. Simply combine all ingredients and cook for 3 hours, then shred the meat. Serve it on buns of your choice...and then sit back and take in the compliments! Everyone loves this recipe, and I've used it at fund raising events with great success! Excellent with potato salad or coleslaw.",15 mins,3 hrs,3 hrs 15 mins,8,"3 pounds beef chuck | 2 onions, chopped | 1 (28 ounce) can diced tomatoes with juice | ½ cup distilled white vinegar | ½ cup water | 3 tablespoons sugar | ⅓ (10 fluid ounce) bottle Worcestershire sauce | salt and pepper to taste",https://www.allrecipes.com/thmb/TZRH4aMelZ4Cwe9I8NDaoMRbqnk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/645938-4bb9bb255d8145cdbdcd8bd20591368e.jpg,15.0,180.0,195.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Place roast in a large Dutch oven, add water to cover.
- Cover and simmer 1 hour.
- Uncover and cook an additional hour.
- Remove and discard fat and bone from roast.
- Chop meat and set meat aside. Combine beef broth and remaining ingredients in Dutch oven, bring to a boil.
- Stir in meat, reduce heat and cook 1 to 1 1/2 hours. Serves 6."
Peruvian Locro (Butternut Squash),4.3,"I got this recipe from my husband's grandmother who is from Peru. This recipe is delicious and healthy. It is also filling. The butternut squash, corn, and sweet peas are combined into a delicious dish for the whole family. Serve with a side of French bread. And enjoy!",15 mins,30 mins,45 mins,6,"1 large butternut squash, peeled and cut into chunks | water to cover | salt to taste | ¾ (12 ounce) can evaporated milk (such as PET®) | ½ cup butter | 1 (16 ounce) package frozen corn | 1 (16 ounce) package frozen sweet peas | 2 cups grated Cheddar cheese | 3 cups cooked basmati rice",https://www.allrecipes.com/thmb/VYUA17NUIc7M8wmktx4aYMgoPsY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3768588-5cb0eb0f0a7643b69c17a5ba61cb1e04.jpg,15.0,30.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Place squash in a large pot and add enough water to cover; season with salt. Bring water to a boil and cook until squash is tender, about 20 minutes. Drain squash and return to pot.
- Mash squash with a potato masher; add evaporated milk, butter, and salt and beat with an electric mixer until smooth and creamy. Stir corn, peas, and Cheddar cheese into squash mixture; cook and stir over medium-low heat until cheese is melted, about 10 minutes. Serve squash mixture over rice."
Bread and Butter Pickle Deviled Eggs,4.1,This is a deviled egg recipe that uses bread and butter pickles and honey mustard.,15 mins,,15 mins,12,"6 hard-boiled eggs | ¼ cup mayonnaise | 2 tablespoons sliced bread-and-butter pickles | 1 tablespoon honey mustard, or more to taste | ¼ teaspoon ground black pepper | 1 pinch paprika, or as needed (Optional)",https://www.allrecipes.com/thmb/SNZ7MtUXen5CpKzW4NhjrM9Rka4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9391652-521ef4bcfa044625abac44423c2761fb.jpg,15.0,,15.0,0.0,,,,"- Halve eggs lengthwise. Carefully remove yolks to a small bowl and mash with a fork; add mayonnaise, pickles, honey mustard, and black pepper. Blend the mixture until smooth.
- Scoop yolk mixture into egg halves; garnish with paprika. Keep refrigerated until ready to serve."
Quick Fish Tacos,4.6,This simple yet scrumptious recipe has a nice kick and is a house favorite. Delicious!,20 mins,15 mins,35 mins,4,"¼ cup reduced-fat sour cream | 2 tablespoons lime juice | salt and ground black pepper to taste | 1 jalapeno pepper, halved lengthwise | 2 ½ cups shredded red cabbage | 4 green onions, thinly sliced | 2 tablespoons olive oil | 1 pound tilapia fillets, cut into strips | 8 (6 inch) flour tortillas | ½ cup chopped fresh cilantro",https://www.allrecipes.com/thmb/8p9Dqeilrd0l2rBqZqIqSU-hWUM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/221936-Quick-Fish-Tacos-DDMFS-4x3-2604-d5fa7affcf404ed7b25888a16933aa99.jpg,20.0,15.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Mix sour cream and lime juice together in a large bowl; season with salt and black pepper. Reserve about half the mixture in another bowl for serving. Mince half the jalapeno pepper; save other half for later. Toss cabbage, green onions, and minced jalapeno half in remaining sour cream mixture until slaw is well mixed.
- Heat olive oil and remaining jalapeno half in a large skillet over medium heat; swirl oil to coat skillet evenly. Season tilapia fillets with salt and pepper. Pan-fry fish strips in the skillet in 2 batches until fish is golden brown and easily flaked with a fork, 5 to 6 minutes. Discard jalapeno half.
- Heat tortillas in the microwave on high until warm, 20 to 30 seconds.
- Serve fish in warmed tortillas topped with cabbage slaw, reserved sour cream mixture, and cilantro."
Baked Sweet Potatoes,4.7,"These baked sweet potato cubes, seasoned with olive oil and oregano, make a delicious side dish. The whole family enjoys eating sweet potato when I make this recipe!",15 mins,45 mins,1 hr,4,2 tablespoons olive oil | 3 large sweet potatoes | 2 pinches dried oregano or to taste | 2 pinches salt | 2 pinches ground black pepper,,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Butter a 9 x 13-inch baking dish.
- Place the first 3 ingredients in dish in layers.
- Add enough water to pineapple juice to make 1 full cup.
- Bring remaining ingredients to boil. Pour over potatoes, etc. in dish.
- Bake at 325° for 1 hour."
Passover Double Chocolate Almond Torte,5.0,"A flourless chocolate torte, fudgy and rich, but kosher for Passover.",20 mins,30 mins,1 hr,10,"½ teaspoon unsweetened cocoa powder for dusting, or as needed | 2 (8 ounce) packages semi-sweet chocolate squares, coarsely chopped | ½ cup butter | 5 large eggs, separated | 1 tablespoon vanilla extract | ¼ cup white sugar | ¼ cup chocolate chips | ¼ cup crushed almonds | 1 teaspoon confectioners' sugar for dusting, or as needed | ½ teaspoon unsweetened cocoa powder for dusting, or as needed",https://www.allrecipes.com/thmb/GRuycRd3RvnLDqDLFM_LsFb9GSs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8304991-7ea90e5d4dff4be5b50064a0840d95dd.jpg,20.0,30.0,60.0,10.0,D,Short Wait,Wait time 1-30 min,"- Preheat oven to 375 degrees F (190 degrees C).
- Grease a 9-inch springform pan and dust with 1/2 teaspoon unsweetened cocoa powder.
- Melt chopped chocolate squares and butter in a heavy saucepan over low heat, stirring until smooth, 5 to 10 minutes.
- Whisk egg yolks and vanilla extract together in a large bowl.
- Gradually whisk chocolate and butter mixture into egg yolk mixture until well blended.
- Beat egg whites in a separate bowl with an electric mixer on high speed until soft peaks form. Gradually beat sugar into egg whites until sugar dissolves and egg whites hold stiff peaks.
- Fold 1/3 of the egg white mixture into chocolate mixture. Gently fold in remaining egg white mixture until just blended and batter is smooth and fluffy.
- Spread batter evenly into prepared springform pan.
- Bake in the preheated oven until sides begin to pull away from pan and top is set in center, about 25 minutes.
- Let torte cool in pan on a wire rack for 10 minutes before removing the sides of pan.
- Place chocolate chips into a microwave-safe bowl and heat in microwave on full power for 1 minute. Stir the chips. Continue to heat in 15-second intervals, stirring after each time, until the chocolate chips have melted and are warm and smooth. Do not overheat.
- Drizzle melted chocolate chips onto torte. Sprinkle crushed almonds and a dusting of confectioners' sugar and 1/2 teaspoon unsweetened cocoa powder, or as needed, onto the torte before serving.."
Spicy Noodles - Malay Style,3.9,"Spicy and simply devilish, a kick start on Malay cuisine. Remember to set water at the side 'cause you're on fire!!!",15 mins,35 mins,50 mins,4,"1 (12 ounce) package uncooked egg noodles | 3 tablespoons olive oil | 1 teaspoon finely chopped garlic | ½ bunch fresh spinach, stems removed, chopped | ¼ cup chile paste | 3 tablespoons ketchup | 1 egg | ½ teaspoon white sugar | ¼ cup water | salt and pepper to taste | ½ cup fresh bean sprouts | ½ cup green peas",https://www.allrecipes.com/thmb/alnAblOyxW8tpmVcvPzw-IYiOpQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/112891-745490e168a34b73b798398c3bf92db6.jpg,15.0,35.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Bring a large pot of water to a boil, cook the egg noodles 6 to 8 minutes, until al dente, and drain.
- Heat the oil in a skillet over medium heat, and saute the garlic about 1 minute. Stir in the spinach, and cook about 1 minute. Mix in the cooked egg noodles, chile paste, and ketchup, and toss until well coated.
- Make a hole in the center of the noodle mixture. Place the egg in the center, and scramble, tossing with the noodles just before egg is finished cooking.
- Mix the sugar and enough water to keep the mixture moist into the skillet. Season with salt and pepper. Continue to cook, stirring constantly, about 6 minutes. Toss in the sprouts and peas, and cook and stir about 4 minutes, until heated through."
Japanese Teriyaki Sauce,4.6,"Using Japanese sake and mirin wines (available in most Asian markets), this sake teriyaki sauce recipe is simple and sweet. Use as a sauce or marinade for chicken, fish, or other meat.",5 mins,5 mins,10 mins,4,¼ cup dark soy sauce | ¼ cup sake | 2 tablespoons mirin (Japanese sweet wine) | 1 tablespoon white sugar,https://www.allrecipes.com/thmb/OIkjH35smMmi3lPBeM5HLTb4nS0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/28417-1695fe66f35c48ef90816f37b5d01994.jpg,5.0,5.0,10.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Heat all ingredients in a pot.
- Bring to a boil, then reduce heat and simmer to thicken the sauce. (about 15 minutes).
- Remove from heat and cool.
- This sauce can be stored in an air-tight jar in the refrigerator."
Healthy Chocolate Smoothie,4.3,"This chocolate smoothie is naturally sweetened with bananas, so you don't have to add sugar to sweeten the cocoa. This healthy beverage is my go-to for a midday energy boost; the kids love it too!",10 mins,,10 mins,2,2 very ripe bananas | 1 cup milk | 6 ice cubes | 1 ½ tablespoons unsweetened cocoa powder | 1 tablespoon peanut butter | 1 teaspoon vanilla extract,https://www.allrecipes.com/thmb/MMSiRIHhQhOeYGV-cFsMnlCP4XM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8001597-2c200d7af80d4b06a73c488b9b2ab507.jpg,10.0,,10.0,0.0,,,,"- Blend bananas, ice cubes, milk, cocoa powder, peanut butter, and vanilla extract together in a blender on high speed until smooth."
Almond Flour Bread,4.4,"This almond flour bread is made with almond milk, eggs, and flaxseed meal. It's low-carb, gluten-free, and dairy-free. It tastes delicious!",10 mins,40 mins,1 hr,8,1 ½ cups almond flour | ⅓ cup flaxseed meal | 4 large eggs | ¼ cup unsweetened almond milk | 2 tablespoons olive oil | 2 teaspoons baking powder | ½ teaspoon salt,https://www.allrecipes.com/thmb/LcKp-iZ-0kSpMF0Lq1thHH-HQKY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/246002-almond-flour-bread-ddmfs-4x3-1085810891-dae43e02141447a2afe580ff0f621951.jpg,10.0,40.0,60.0,10.0,D,Short Wait,Wait time 1-30 min,"- Preheat oven to 350 degrees F (175 degrees C). Grease a loaf pan lightly.
- Mix almond flour, flaxseed meal, eggs, almond milk, olive oil, baking powder, and salt together in a bowl until smooth dough forms. Transfer to prepared loaf pan.
- Bake in preheated oven until top is golden brown, about 40 minutes. Cool in loaf pan 10 minutes before transferring to a wire rack to cool completely."
Jericallas (Mexican Baked Custards),5.0,"Jericallas is a dessert from the Mexican city of Guadalajara. According to legend, it was invented by nuns in an orphanage in the 19th century.",15 mins,45 mins,1 hr,10,"1 quart whole milk | 1 cup white sugar | 1 teaspoon vanilla extract | 2 (3 inch) pieces cinnamon sticks | 5 large eggs, beaten",https://www.allrecipes.com/thmb/GggDImyK1E76XA9v9Q5UpqBtPrQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9062913-f1f177d5dd1b4539ba8dfa3304a07fcf.jpg,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",
Bev's Chocolate Pie,4.6,"This decadent chocolate pie has a rich chocolate filling in a buttery pie crust, topped with fluffy baked meringue. I got this easy recipe from a dear friend a long time ago!",30 mins,50 mins,1 hr 20 mins,8,2 cups white sugar | 5 tablespoons unsweetened cocoa powder | ¼ cup all-purpose flour | 1 (12 fluid ounce) can evaporated milk | 1 teaspoon vanilla extract | 4 large egg yolks | ¼ cup butter | 1 (9-inch) unbaked pie shell | 4 large egg whites | ¼ cup white sugar,https://www.allrecipes.com/thmb/xlZgrwzwC88qKQlLzCWcfEP3eZY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12140bevs-chocolate-pieKim4x3-7ec8730431744e26bbff004beebfdb5f.jpg,30.0,50.0,80.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Preheat oven to 350 degrees F (175 degrees C).
- In a saucepan, whisk together 2 cups sugar, cocoa and flour. Blend in evaporated milk and vanilla. Beat egg yolks, and stir into pan. Add the butter or margarine. Heat, stirring constantly just until butter is melted. Pour filling into unbaked pie shell.
- Bake in preheated oven for 35 to 40 minutes, or until pie is not ""wobbly"" when shaken.
- Beat egg whites until soft peaks form. Gradually add 1/4 cup sugar, beating constantly, until stiff peaks form. Spread meringue on pie.
- Return pie to oven, and bake until meringue is golden."
Best Pernil Ever,5.0,"Pernil is a traditional Puerto Rican holiday dish of slow-roasted pork with crispy skin. This is my grandma's recipe which marinates the pork shoulder in red wine overnight for the most flavorful meat you'll ever taste. It's so fall-apart tender, you won't need a knife.",15 mins,5 hrs,1 day 6 hrs 5 mins,12,"9 cloves garlic | 1 ½ tablespoons olive oil | 1 ½ teaspoons salt | 1 teaspoon oregano | ½ teaspoon ground black pepper | 1 (7 pound) skin-on, bone-in pork shoulder roast | 1 (1.5 liter) bottle red table wine",https://www.allrecipes.com/thmb/4ExXM3lfs2i0c3m_nwxzhPB0Hkc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-254167-best-pernil-ever-VAT-4x3-0359ec72880146f5b041aa43fb99e318.jpg,15.0,300.0,365.0,50.0,E,Long Wait,Wait time > 30 min,"- Crush garlic into small pieces in a mortar and pestle. Add olive oil, salt, oregano, and black pepper; mash into a paste.
- Make 12 deep incisions a few inches apart in the roast using a sharp knife. Pack the seasoned garlic paste evenly into the incisions and over the roast.
- Transfer roast to a large bowl. Pour in red wine, covering roast completely. Cover with plastic wrap and let marinate in the refrigerator, 24 hours.
- Pour out red wine. Place roast fat-side up in a roasting pan; cover with aluminum foil. Let sit at room temperature, about 30 minutes.
- Preheat oven to 400 degrees F (200 degrees C).
- Place roast in the preheated oven; reduce temperature to 300 degrees F (150 degrees C). Bake until slightly pink in the center, about 4 hours.
- Increase temperature to 400 degrees F (200 degrees C). Uncover roast and continue baking until fat is crispy and an instant-read thermometer inserted into the center reads 160 degrees F (71 degrees C), about 1 hour more.
- Remove from oven and let rest before carving, 20 to 30 minutes."
Overnight Oats with Strawberries and Greek Yogurt,4.3,"Strawberry-yogurt overnight oats! An ultimate healthy pre-planned breakfast that is packed with fiber and protein. Garnish with granola, World of Chia Fruit Spread flavor, or fresh berries.",10 mins,,8 hrs 10 mins,3,2 cups rolled oats | 2 cups almond milk | 1 cup Greek yogurt | 1 cup chopped fresh strawberries | 1 tablespoon honey | 1 tablespoon chia seeds,https://www.allrecipes.com/thmb/OtjYev_pkonR5QbmyWyTRfn1BzU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/OvernightOatswithStrawberriesandGreekYogurtRita-cddd5f6d55dd4b839390e607d14b058d.jpg,10.0,,490.0,480.0,,,,
Dry Rub Air Fryer Chicken Wings,4.7,Yummy air fryer chicken wings made with a sweet and spicy Memphis-style dry rub.,10 mins,30 mins,40 mins,2,"1 tablespoon dark brown sugar | 1 tablespoon sweet paprika | ½ tablespoon kosher salt, or to taste | 1 teaspoon garlic powder | 1 teaspoon onion powder | 1 teaspoon poultry seasoning, or to taste | ½ teaspoon mustard powder | ½ teaspoon freshly ground black pepper | 8 chicken wings, or more as needed",https://www.allrecipes.com/thmb/AZFnRbYfmIkSZMX-uH8J8ntzB0Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/272428-dry-rub-air-fried-chicken-wings-ddmfs-tep5-beauty-199-4x3-1-168604b6955b42f381aeee71673c839e.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",
Porcupine Meatballs,4.6,These porcupine meatballs are by far the best I have ever had! This recipe was given to my mom when she married back in 1970 — it includes directions for stovetop cooking and baking in the oven. I hope you enjoy it as much as our family does.,15 mins,55 mins,1 hr 10 mins,4,"1 pound lean ground beef | ½ cup uncooked long grain white rice | ½ cup water | ⅓ cup chopped onion | 1 teaspoon kosher salt | ½ teaspoon celery salt | ⅛ teaspoon garlic powder | ⅛ teaspoon ground black pepper | 1 tablespoon canola oil | 1 (15 ounce) can tomato sauce | 1 cup low sodium chicken stock, or more as needed | 2 teaspoons Worcestershire sauce | 1 teaspoon granulated sugar",,15.0,55.0,70.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Mix together the meat, rice, salt, pepper and onion.
- Shape into walnut size balls.
- Place in skillet.
- Mix together the soup and water; pour over meatballs.
- Cook over medium heat for approximately 30 minutes."
Chicken Sausage Gnocchi Skillet,4.3,A light-tasting dish with mild flavors that is quick to prepare as long as you prep the gnocchi in advance.,15 mins,25 mins,40 mins,4,"8 ounces ricotta cheese gnocchi | 2 cups broccoli florets | 1 teaspoon butter | 2 tablespoons diced onion, divided | 1 tablespoon minced garlic, divided | 2 chicken sausage links (such as Aidells®), sliced | ½ cup butter | 2 teaspoons all-purpose flour | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/OC7kUb92nfFpyAidc3QRJTmby8Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4472331-55e74b28742441e4886abec22e8f3921.jpg,15.0,25.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",
Chef John's Pumpkin Pie,4.8,This best pumpkin pie recipe came about after many years of experimentation. I've finally perfected what I think is the ideal formula for a rich pumpkin pie that's much less likely to crack on top. Serve garnished with whipped cream and freshly grated nutmeg.,15 mins,45 mins,1 hr,8,1 (15 ounce) can pumpkin puree | 3 egg yolks | 1 large egg | 1 (14 ounce) can sweetened condensed milk | 1 teaspoon ground cinnamon | ½ teaspoon ground ginger | ½ teaspoon fine salt | ¼ teaspoon freshly grated nutmeg | ⅛ teaspoon Chinese 5-spice powder | 1 9-inch unbaked pie crust (see footnote for recipe link),,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat oven to 425 degrees F (220 degrees C).
- Whisk together pumpkin puree, egg yolks, and egg in a large bowl until smooth. Add sweetened condensed milk, cinnamon, ginger, salt, nutmeg, and Chinese 5-spice powder; whisk until thoroughly combined.
- Fit pie crust in a 9-inch pie plate and crimp edges.
- Pour filling into the pie shell and lightly tap on the work surface to release any air bubbles.
- Bake in the preheated oven for 15 minutes.
- Reduce heat to 350 degrees F (175 degrees C) and bake until just set in the middle, 30 to 40 more minutes. A paring knife inserted into the filling, 1 inch from the crust, should come out clean. Allow to cool completely before serving."
Gooey Butter Cookies,4.7,These gooey butter cookies are sure to be a favorite if you like the cake by the same name. You won't be able to stop eating them!,5 mins,15 mins,20 mins,24,"¼ cup confectioners' sugar | 1 (8 ounce) package cream cheese, softened | ½ cup unsalted butter, softened | 1 large egg | ¼ teaspoon vanilla extract | 1 (15.25 ounce) package yellow cake mix",https://www.allrecipes.com/thmb/eJJ9e3x9Qrp1ZfqrkMjgfYyLu0k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-16773-gooey-butter-cookies-VAT-4x3-f6e5f486d65a4f5f9aec619bace6bc1b.jpg,5.0,15.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",- Mix with mixer until well blended. Chill dough. Roll into balls. Roll in powdered sugar. Bake on ungreased cookie sheet at 350° for 10 to 12 minutes.
Baby Guinness,4.8,A baby Guinness shot that looks like a mini pint of Guinness but isn't made with Guinness! It's a sweet and delicious cocktail of coffee liqueur and Irish cream. I learned how to make this in London.,5 mins,,5 mins,1,2 fluid ounces coffee flavored liqueur such as Tia Maria | ½ fluid ounce Irish cream liqueur such as Baileys,,5.0,,5.0,0.0,,,,- Fill a shot glass almost to the top with coffee liqueur. Top off with Irish cream. It should float perfectly on top making the ''head'' of your shot.
Best Zucchini Bread,4.7,"This zucchini bread recipe is the best I have made. I have tried other recipes, but this remains the best. Thanks to my mother!",15 mins,1 hr,1 hr 15 mins,24,3 large eggs | 2 cups white sugar | 1 cup vegetable oil | 2 cups grated zucchini | 2 teaspoons vanilla extract | 3 cups all-purpose flour | ½ cup chopped walnuts | 1 tablespoon ground cinnamon | 1 teaspoon salt | 1 teaspoon baking soda | ¼ teaspoon baking powder,,15.0,60.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- preheat oven to 350F (175 C)
- sift together flour, salt, cinnamon, & baking powder
- beat eggs.
- add & mix well sugar, vanilla, & oil.
- add zucchini to egg mixture.
- add dry ingredients, mix well.
- stir nuts if desired ( I didn't).
- pour into 2 ungreased loaf pans.
- bake for 1 hour
- enjoy:D"
Linzer Cookies,4.5,"Linzer cookies are buttery cut-out cookies with a raspberry jam center. They require a bit of extra effort to make and assemble, but the delight of family and friends when serving these delicious cookies makes them all worthwhile. They look beautiful on a Christmas cookie tray!",20 mins,10 mins,2 hrs,32,"2 cups all-purpose flour | ½ teaspoon baking soda | ¼ teaspoon salt | ¼ teaspoon ground cinnamon | ¾ cup white sugar | ½ cup butter at room temperature | 1 large egg | 1 teaspoon almond or vanilla extract | ¼ cup seedless raspberry jam | 1 tablespoon confectioners' sugar, or as needed",https://www.allrecipes.com/thmb/XKVzG5DqASP9-0al38s4OMN4zok=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229769-linzercookies-Joan-4x3-73b0507b0f9d4d66a17c4866b9ed480a.jpg,20.0,10.0,120.0,90.0,E,Long Wait,Wait time > 30 min,"- Sift together the flour, baking powder and salt; set aside. In a medium bowl, cream together the butter, brown sugar and cinnamon until light and fluffy. Beat in the lemon zest, egg and vanilla. Mix in 1 cup of chopped almonds, then stir in the sifted ingredients. Press 2/3 of the dough into the bottom of a greased or parchment lined 8x8 inch baking pan. Roll the remaining portion between two pieces of waxed paper, out to an 8 inch square. Refrigerate all of the dough for at least 2 hours.
- While the dough is chilling, place the apricots into a small saucepan with water to cover. Bring to a boil and cook for three minutes. Remove from heat and set aside to cool. Drain the excess liquid from the apricots and mix in the preserves and lemon juice.
- Preheat oven to 350 degrees F (175 degrees C). Spread the apricot filling evenly over the chilled crust, leaving a 1/4 inch border on edges. Cut the chilled square of dough into 1/2 inch strips. Place the strips over the filling in a lattice design. Trim edges to fit and press the edges into the border. Brush the top with egg white then sprinkle with remaining chopped almonds and coarse sugar.
- Bake for 15 to 20 minutes in the preheated oven, until filling is bubbly and the crust is golden brown. Allow to cool completely before cutting into squares."
