Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description
Homemade Mini Cinnamon Rolls,5.0,"Even the smallest of bakers can help knock out these festive cinnamon rolls—perfect for a holiday breakfast (or gifting to friends or neighbors). Prep the dough, let your helpers choose from four filling options, and let it roll.",35 mins,,3 hrs 45 mins,8,"¾ cup milk | ¼ cup water | 4 cups bread flour or all-purpose flour | ⅓ cup sugar | 1 (.25 ounce) package active dry yeast | ½ teaspoon salt | 2 large eggs, lightly beaten | ⅓ cup butter, melted | ⅔ cup brown sugar | 1 ½ teaspoons cinnamon | 4 tablespoons butter, softened | 3 ounces cream cheese, softened | 1 tablespoon butter, softened | 1 tablespoon milk | ½ teaspoon vanilla extract | 2 cups powdered sugar",https://www.allrecipes.com/thmb/fO1gbXJQhGzr1haompbJg0JpDGQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/PASSANO_ALR0123_Kids_4422-4x3-1-bcf11d0ebfcf4f608f8aa503bee68331.jpg,35.0,,225.0,190.0,,,
Green Chile Chicken Casserole,5.0,"I love the flavor of green enchiladas, but sometimes I don't love rolling all the tortillas, lol! Here is a casserole that gives that great, tangy flavor, but in much less time. Garnish with sour cream, if you like. Mexican rice and borracho beans are great sides for this Tex-Mex family meal.",30 mins,25 mins,55 mins,8,"1 cooking spray | 1 ½ pounds boneless, skinless chicken thighs, cooked | 2 cups shredded Monterey Jack cheese, divided | 2 teaspoons chili powder | 1 (28 ounce) can tomatillos, drained | 2 (4 ounce) cans mild chopped green chile peppers | 1 bunch green onions, trimmed and cut into 3-inch lengths | ½ cup chopped cilantro | 1 jalapeno pepper, seeded and minced | 2 cloves garlic, peeled | salt and ground black pepper to taste | 1 cup chicken broth | 12 corn tortillas",https://www.allrecipes.com/thmb/0UzioQrWThJqEvHBdLoXmswCkro=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8194739-8912cc6a14da42918c9a85c537e56e32.jpg,30.0,25.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Panko Buffalo Chicken Tenders,4.0,Delicious crispy Buffalo chicken breast tenders served with blue cheese or ranch dressing.,15 mins,20 mins,35 mins,4,"2 cups panko bread crumbs | ½ cup Italian-seasoned bread crumbs | 1 teaspoon garlic powder | salt and ground black pepper to taste | 2 pounds boneless, skinless chicken breast, cut into tender-size pieces | 1 ½ cups Buffalo wing sauce",https://www.allrecipes.com/thmb/XQR3DMSu5_6PQbCA-Q_vVw_yVHQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4569517-08484782670c4e5a85a6c7f9b2a69ed0.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Rhubarb Cobbler,4.7,This comforting rhubarb cobbler is much loved by my family. I hope you like it as much as we do!,20 mins,30 mins,50 mins,9,"¾ cup white sugar | 2 tablespoons cornstarch | 4 cups chopped rhubarb | 1 tablespoon water | 1 tablespoon butter, diced | 1 teaspoon ground cinnamon | 1 cup all-purpose flour | 3 tablespoons white sugar, divided | 1 ½ teaspoons baking powder | ¼ teaspoon salt | ¼ cup cold butter, cubed | ¼ cup milk | 1 large egg",https://www.allrecipes.com/thmb/3QgmndvzE-Z3WrRC2Yn4xlTJ-Uw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6735888-rhubarb-cobbler-naples34102-4x3-1-e2ebb96c951445f2a1c008d04237d2c7.jpg,20.0,30.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Artichoke Spinach Dip,4.6,"This is a great dip! It's prepared on the stove top instead of in the oven. Even veggie haters love this, and I'm always asked for the recipe whenever I make it. Omit the Parmesan cheese, if desired.",15 mins,20 mins,35 mins,56,"¼ cup butter | 1 (10 ounce) package frozen chopped spinach, partially thawed | 1 (14 ounce) can artichoke hearts, drained and chopped | 2 (8 ounce) packages cream cheese, softened | 2 (16 ounce) containers sour cream | 1 cup grated Parmesan cheese | garlic salt to taste",https://www.allrecipes.com/thmb/s6EuSW9SDXfLzXsFnrOoLRrbVLg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3638563-cff92cae4b13482ea71592786b473ce5.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Pecan Chocolate Chip Pie,4.4,To please the chocolate lover and the pecan lover. This pie is great topped with whipped cream and chocolate chips.,,,,8,"2 ½ cups all-purpose flour | ⅛ teaspoon salt | ½ cup butter, chilled and diced | 5 tablespoons ice water | 3 eggs | ¾ cup white sugar | ¾ cup light corn syrup | ¼ cup butter, melted | ½ cup semisweet chocolate chips | ½ cup chopped pecans",https://www.allrecipes.com/thmb/U8TOpPYf8TO-k7ickzwS2-Xlvg4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6478962-bf0d28de40c54f539e6d8482211be76e.jpg,,,,,,,
Ratatouille Bake,4.6,"This ratatouille bake recipe was given to me by my aunt, who lives in Atlanta, Georgia. It tastes wonderful with your garden vegetables.",15 mins,45 mins,1 hr,6,"1 tablespoon olive oil | 2 cups peeled and diced eggplant | 1 onion, chopped | 5 cloves garlic, minced | 2 cups chopped zucchini | 1 (14.5 ounce) can diced tomatoes | 1 green bell pepper, chopped | 1 tablespoon dried basil | 1 tablespoon dried parsley | ½ teaspoon salt | ⅛ teaspoon ground black pepper | 1 (8 ounce) package frozen cheese ravioli | ¾ cup shredded mozzarella cheese",,15.0,45.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Slow Cooker 3-Bean Chili,4.7,"The best beans for chili are pinto, kidney, and black beans, like in this easy and tasty recipe. This 3-bean chili freezes great for meals later in the week. If you prefer thinner chili, add an extra can of tomato sauce. The green chiles are not hot and add a wonderful flavor, so don't be afraid to use them.",10 mins,4 hrs 10 mins,4 hrs 20 mins,10,"1 (20 ounce) package 93%-lean ground turkey | 1 (28 ounce) can diced fire-roasted tomatoes | 1 (16 ounce) can tomato sauce | 1 (15.5 ounce) can pinto beans, rinsed and drained | 1 (15.5 ounce) can kidney beans, rinsed and drained | 1 (15 ounce) can reduced-sodium black beans, rinsed and drained | 1 small onion, chopped | 1 (4.5 ounce) can chopped green chiles | 2 tablespoons chili powder | 1 tablespoon minced garlic | 1 teaspoon oregano | 1 pinch ground cumin",https://www.allrecipes.com/thmb/PbzommMs1PBNL3NDpIcBUGMiavI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/236091-slow-cooker-3-bean-chili-ddfsm-4X3-5857-c41e63e5073a46959289e7b14d8f8d3b.jpg,10.0,250.0,260.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Jalapeno Popper-Stuffed Meatloaf,4.3,"This stuffed meatloaf with cream cheese, Cheddar cheese, and jalapenos is kicked up a notch.",25 mins,35 mins,1 hr,4,"1 pound ground beef | ⅔ cup bread crumbs | 2 eggs, whisked | 2 teaspoons salt, divided | 1 ½ teaspoons ground black pepper, divided | 1 (8 ounce) package cream cheese, softened | 1 cup grated Cheddar cheese (Optional) | 3 jalapeno peppers, seeded and diced | 1 teaspoon garlic powder | aluminum foil | 3 tablespoons barbeque sauce, or as needed | 2 tablespoons grated Cheddar cheese, or to taste (Optional)",https://www.allrecipes.com/thmb/gevorT2kVSzUF6FeWixIvH9daoc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/276207JalapenoStuffedMeatloaf-e5f57df192c44aae95113e542e27a7ef.jpg,25.0,35.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Pasanday (Pakistani Beef Pot Roast),4.3,"This pasanday is a common Pakistani meat dish. Beef is marinated with a mixture of flavorful spices and yogurt, which gives the beef an exceptional flavor. Serve hot with pita or naan (Pakistani flatbread).",15 mins,45 mins,1 hr 15 mins,8,"1 cup plain yogurt | 2 teaspoons salt | 2 teaspoons crushed red pepper flakes | 1 teaspoon ginger garlic paste | ½ teaspoon ground black cumin | ½ teaspoon ground cloves | ¼ teaspoon ground turmeric | 2 pounds round steak, cut into pieces | ¾ cup vegetable oil | 1 medium onion, thinly sliced | 1 ½ tablespoons lemon juice | 1 bunch fresh cilantro, for garnish | 4 fresh green chilies, for garnish",https://www.allrecipes.com/thmb/N8H-ntupYlYSPp2uh_O5ihEvFho=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5159173-a7e2f4131bb24127ac4da95e8b4f0e0d.jpg,15.0,45.0,75.0,15.0,D,Short Wait,Wait time 1-30 min
Sweet Corn Bread,4.7,This cornbread recipe goes well with just about anything. I always make it when we have chili. The sour cream makes it nice and moist.,10 mins,20 mins,40 mins,9,"1 cup all-purpose flour | 1 cup cornmeal | ¼ cup white sugar | ½ teaspoon baking powder | ½ teaspoon baking soda | ½ teaspoon salt | 1 egg, lightly beaten | 1 cup sour cream | ⅓ cup milk | ¼ cup butter, melted",,10.0,20.0,40.0,10.0,D,Short Wait,Wait time 1-30 min
Meatball Sandwich,4.6,"Meatball sub made with deliciously seasoned homemade meatballs, tomato sauce, and melted provolone cheese served on a lightly toasted baguette.",20 mins,20 mins,40 mins,4,"1 pound ground beef | ¾ cup bread crumbs | 1 large egg, beaten | 2 cloves garlic, minced | 2 tablespoons grated Parmesan cheese | 2 tablespoons chopped fresh parsley | 2 teaspoons dried Italian seasoning | 1 French baguette | 1 tablespoon extra-virgin olive oil | ½ teaspoon garlic powder | 1 pinch salt, or to taste | 1 (14 ounce) jar spaghetti sauce | 4 slices provolone cheese",,20.0,20.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Carrot Cake Oatmeal,4.4,This carrot cake oatmeal recipe is full of fiber and delicious flavor. It's a great way to start the day or a hearty dessert!,15 mins,40 mins,55 mins,6,"4 cups water | 1 cup steel-cut oats | 1 apple, peeled, cored, and chopped | ½ cup shredded carrot | ½ cup raisins | 1 teaspoon ground cinnamon | ½ teaspoon ground nutmeg | ½ teaspoon ground ginger | 1 pinch salt | 1 tablespoon unsalted butter | ¾ cup chopped pecans | 1 tablespoon brown sugar | ½ cup plain yogurt",,15.0,40.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Buffalo Chicken Wings I,4.7,"Let your palate fly away on wings of fire - easy, spicy buffalo wings!",10 mins,15 mins,25 mins,8,"1 quart vegetable oil for deep frying | 24 chicken wings, tips removed and wings cut in half at joint | 4 tablespoons butter | 1 tablespoon distilled white vinegar | 5 tablespoons hot pepper sauce | salt and pepper to taste",,10.0,15.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Honey-Apple Turkey Brine,,"Brine your turkey overnight in this subtly sweet honey-apple brine for a juicy, flavorful showstopper that’s sure to impress. This recipe makes enough for a 14- to 16-pound turkey and works beautifully on chicken, ensuring every bite is moist and delicious.",15 mins,10 mins,1 hr 25 mins,12,"4 cups water | 1 cup kosher salt | 1 cup honey | 1 large red apple, cored and thinly sliced | 1 medium onion, quartered | 3 cloves garlic, crushed | 3 large bay leaves | 2 sprigs fresh rosemary | 2 sprigs fresh thyme | 2 sprigs fresh sage | 1 tablespoon black peppercorns | 8 cups apple cider | 4 cups ice | 1 cup apple cider vinegar",https://www.allrecipes.com/thmb/qjxfu-5mwG6SroqHxB8JfDz5Uxo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8793486-51e8ce8cd2654f6b8afb64ed7e0283f0.jpg,15.0,10.0,85.0,60.0,E,Long Wait,Wait time > 30 min
White Chocolate Flan,5.0,"My mom makes the best flan so I had to out do hers! This is a great flan, this is not typical ingredients for a flan but they work so well.",15 mins,1 hr 20 mins,6 hrs 35 mins,10,"1 cup white sugar | 2 tablespoons brown sugar | 2 tablespoons water | 1 (12 ounce) package white chocolate chips | 1 (8 ounce) package cream cheese, softened | 1 (8 ounce) container mascarpone cheese | 1 (12 fluid ounce) can evaporated milk | 1 (14 ounce) can sweetened condensed milk | 3 eggs",https://www.allrecipes.com/thmb/ee3wXg2J5sDlk8wAZDgAYbFy1XA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6172610-02aafea343be4d81984733e0cbf91834.jpg,15.0,80.0,395.0,300.0,E,Long Wait,Wait time > 30 min
Apple Betty,4.7,This apple betty requires no pie crust. Everyone always raves about this dessert with a delicious crisp topping. You can control the sweetness by adjusting the amount of streusel.,30 mins,45 mins,1 hr 15 mins,8,"4 cups thinly sliced apples | ¼ cup orange juice | 1 cup white sugar | ¾ cup all-purpose flour | ½ teaspoon ground cinnamon | ¼ teaspoon ground nutmeg | 1 pinch salt | ½ cup cold butter, cubed",https://www.allrecipes.com/thmb/O-9h9wzShYMJLf3XWDSed_z1TuM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15800-apple-betty-DDMFS-4x3-375de023c8694f909b7b9ddc838289fa.jpg,30.0,45.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Auntie Mae's Irish Bread,4.7,This recipe has been handed down in my family for over 150 years. We haven't changed a thing!,10 mins,50 mins,1 hr,12,"3 cups all-purpose flour | 1 ¼ cups milk, or more as needed | 1 cup raisins | ¾ cup white sugar | 2 tablespoons caraway seeds (Optional) | 1 tablespoon vegetable oil | 2 teaspoons baking powder | 1 teaspoon baking soda | ¼ teaspoon salt",https://www.allrecipes.com/thmb/SJLGr8L4nxsBwbHDLxyfKi1YPOQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2157495-a94ffd0f0d584bf0982741e67ca6d49e.jpg,10.0,50.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
The Best Meatballs You'll Ever Have,4.4,"Simple meatball seasonings make these meatballs extra tasty. They're full of spice and sautéed to perfection. I usually serve mine with spaghetti, but I've also served them with BBQ sauce and rice on the side.",15 mins,20 mins,35 mins,4,"1 pound lean ground beef | ¾ cup crushed seasoned croutons | ¼ cup chopped sweet onion | 1 large egg, lightly beaten | 2 cloves garlic, chopped | 3 tablespoons Worcestershire sauce | 1 tablespoon prepared yellow mustard | 1 teaspoon red pepper flakes | 1 teaspoon Cajun seasoning | 1 tablespoon butter | 1 teaspoon extra virgin olive oil",,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Benne Wafers,4.6,"I live in the South, where people refer to these sesame seed cookies as benne wafers. Toasting benne (sesame) seeds develops their flavor and gives these cookies a slightly crunchy texture. Store cooled cookies in an airtight container.",15 mins,25 mins,40 mins,72,"1 cup sesame seeds | 1 ½ cups packed brown sugar | 1 cup all-purpose flour | ¾ cup butter, melted | 1 large egg | 1 teaspoon vanilla extract | ¼ teaspoon salt | ¼ teaspoon baking powder",https://www.allrecipes.com/thmb/I3cnQbN0Fd2U_RoXFkXsEUMsQEM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4521848-2525af9daffd43629573dd63b0e812ce.jpg,15.0,25.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Basic Pizza Dough,3.8,Basic pizza dough recipe. With a few ingredients and a couple of hours you'll be 'da bomb' and the whole family will forget about that local pizza joint down the block!,30 mins,20 mins,2 hrs 40 mins,16,1 cup warm water | 1 (.25 ounce) package rapid-rise yeast | 2 cups all-purpose flour | 1 cup bread flour | 1 tablespoon white sugar | 1 teaspoon kosher salt | 1 tablespoon canola oil | 1 tablespoon olive oil,https://www.allrecipes.com/thmb/iFjlElnr9jgLy3yg-1B4dtVSgzg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2525576-fdc3abc9ab424ac3b8072b9327d3559e.jpg,30.0,20.0,160.0,110.0,E,Long Wait,Wait time > 30 min
Red Lobster Cheddar Biscuits,4.6,"Red Lobster biscuits are loaded with Cheddar cheese and brushed with seasoned butter in this easy copycat recipe. No kneading is required — just drop the gently mixed batter directly onto a prepared baking sheet and your warm, freshly baked, bite-sized biscuits will be ready to enjoy with dinner in just 15 minutes.",10 mins,15 mins,25 mins,12,"2 cups all-purpose flour | 1 cup shredded Cheddar cheese | 1 tablespoon baking powder | 1 teaspoon salt | ½ teaspoon garlic powder | ⅔ cup milk | ⅓ cup butter, softened and cut into pieces | 1 large egg | 2 tablespoons butter, melted | 2 teaspoons dried parsley (Optional) | 1 teaspoon garlic powder (Optional)",,10.0,15.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Chocolate Chip Belgian Waffles,4.9,This recipe yields the fluffiest Belgian waffles with melty chocolate chips on the inside.,5 mins,10 mins,15 mins,3,1 large egg | 1 cup all-purpose flour | 7 fluid ounces milk | ⅓ cup chocolate chips | ¼ cup vegetable oil | 1 tablespoon white sugar | 2 teaspoons baking powder | ¼ teaspoon vanilla extract | ⅛ teaspoon salt | nonstick cooking spray,https://www.allrecipes.com/thmb/SVyixrYaCpbc0xFYRnjCnxAjnP0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Chocolate-Chip-Belgian-Waffles-2000-ce0a7236282c43bf90f9fa3d6e2054ff.jpeg,5.0,10.0,15.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
West Coast Trail Cookies,4.9,"This cookie gets its name from the West Coast Trail on Vancouver Island. It's my adaptation of the perfect nut-free trail cookie that's been our family's favorite chewy oatmeal cookie for 10 years. Loaded with choco-chips and dried cranberries. The flax seed meal and pumpkin seeds give them a nutty taste, without the nuts. Perfect for school kids or those with allergies.",20 mins,12 mins,42 mins,36,"1 cup unbleached all-purpose flour | ½ cup whole wheat flour | ⅓ cup flax seed meal | 1 teaspoon ground cinnamon | ½ teaspoon baking soda | ¼ teaspoon salt | 1 cup unsalted butter, softened | 1 cup dark brown sugar | ½ cup white sugar | 2 eggs | 2 teaspoons vanilla extract | 2 cups rolled oats | 1 cup semisweet chocolate chips | 1 cup dried cranberries | ¾ cup unsweetened shredded coconut | ½ cup coarsely chopped pumpkin seeds",https://www.allrecipes.com/thmb/_aXFUaZGXjY1VfNFECSW43WqUDk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2421351-west-coast-trail-cookies-Deb-C-4x3-1-eb3cc87e7f2e4ec0aa52f36a120b2ab6.jpg,20.0,12.0,42.0,10.0,D,Short Wait,Wait time 1-30 min
Vegetarian Shepherd's Pie,4.5,"This vegetarian shepherd's pie made with a savory lentil base and topped with fluffy mashed potatoes was our first vegetarian recipe and has withstood the test of time; now, it's one of our staple recipes. It's hearty, comforting, and delicious!",15 mins,1 hr,1 hr 15 mins,8,"2 cups vegetable broth, divided | ½ cup dry lentils | ¼ cup pearl barley | 1 teaspoon yeast extract spread (such as Marmite or Vegemite) | 1 large carrot, diced | ½ onion, finely chopped | ½ cup walnuts, coarsely chopped | 3 potatoes, chopped | 1 teaspoon all-purpose flour | ½ teaspoon water | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/EuxS5CVG8uO5Lzap8-LhvWIHbjk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-24717-vegetarian-shepherds-pie-ii-VAT-4x3-01_edited-cafc6bb9b82948c9a2dd02a8fff75f5c.jpg,15.0,60.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Easy Shrimp Ceviche,4.9,"This is a very simple recipe and will create enough shrimp ceviche for 2 or as an appetizer for 4. The recipe is conservative on salt, you can add more to taste. Serve with chips or alone.",15 mins,5 mins,40 mins,4,"1 cucumber, diced | 2 Roma tomatoes, diced | ½ medium red onion, diced | 2 serrano peppers, seeded and deveined | ¼ cup chopped cilantro | 6 medium limes, divided | 1 ½ teaspoons salt, divided | ½ teaspoon ground black pepper to taste | ½ pound raw shrimp, peeled and deveined | 1 small avocado, diced (Optional)",https://www.allrecipes.com/thmb/3d4J-mQWL_iXDu8wEdH2ckQfP_0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9182442-9c9b764fa4b64ad786eea7a99596637d.jpg,15.0,5.0,40.0,20.0,D,Short Wait,Wait time 1-30 min
Mom's Irish Soda Bread,4.6,"Authentic Irish soda bread does not contain raisins, but I like mine with raisins so I include them. This is a very easy and delicious Irish soda bread recipe.",20 mins,55 mins,1 hr 15 mins,12,"1 cup buttermilk, divided | ½ cup butter, melted - divided | 1 ½ cups golden raisins | 4 cups all-purpose flour | ¼ cup white sugar | 1 tablespoon baking powder | 1 teaspoon baking soda | ½ teaspoon salt | 1 egg",https://www.allrecipes.com/thmb/FMNIT0IC0YOGnR0jIVsQwT2a93o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/807108-8524d140920c42bfb33cbf7b7fcec943.jpg,20.0,55.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Basic Hummus,4.0,"This basic recipe for hummus is quick and easy, and it tastes great with pita bread or veggies.",15 mins,5 mins,20 mins,12,"2 cloves garlic, peeled and crushed | 2 tablespoons olive oil | 1 (15 ounce) can garbanzo beans, drained, liquid reserved | 1 tablespoon sesame seeds | salt and pepper to taste",https://www.allrecipes.com/thmb/u_88VE-tEP0kOs0zdfMQT8yLtG4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1050029-99889171e82749f5b3ffa821d7d07013.jpg,15.0,5.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Spiced Plum Upside-Down Cake with Oats,4.5,I was trying to use up our plum harvest and became inspired to try and make a wholesome version of a pineapple upside-down cake using plums.,30 mins,50 mins,1 hr 40 mins,12,"1 cup rolled oats | ½ cup boiling water | 1 cup brown sugar | ½ cup butter, softened | ½ cup white sugar | 2 eggs, room temperature | 1 ½ teaspoons vanilla extract | 1 ½ cups whole wheat flour | 1 ½ teaspoons baking soda | 1 teaspoon ground cinnamon | 1 teaspoon ground nutmeg | ½ teaspoon sea salt | ¼ teaspoon ground allspice | 2 tablespoons butter | ¼ cup raw sugar | ¼ teaspoon ground cinnamon, or more to taste | 1 ½ cups diced plums",https://www.allrecipes.com/thmb/sYzylzbJx_wxvHaLDVXYKyt02ug=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7056902-2ef4cf85e9664e478d992941e9780f3f.jpg,30.0,50.0,100.0,20.0,D,Short Wait,Wait time 1-30 min
Hearty Vegetable Lasagna,4.7,"This hearty, vegetable lasagna is the only lasagna my husband will eat. We love it! Hope you all enjoy it as much as we do.",25 mins,1 hr,1 hr 40 mins,12,"1 (16 ounce) package lasagna noodles | 2 tablespoons vegetable oil | 1 pound fresh mushrooms, sliced | ¾ cup chopped green bell pepper | ¾ cup chopped onion | 3 cloves garlic, minced | 2 (26 ounce) jars pasta sauce | 1 teaspoon dried basil | 1 (15 ounce) container part-skim ricotta cheese | 4 cups shredded mozzarella cheese, divided | 2 eggs | ½ cup grated Parmesan cheese",,25.0,60.0,100.0,15.0,D,Short Wait,Wait time 1-30 min
Instant Pot Ribs,4.5,Instant Pot ribs are so tender they fall off the bone. The best part is that you can cook them from start to finish in just a little over an hour.,10 mins,25 mins,50 mins,8,"2 cups apple juice | ¼ cup apple cider vinegar | 2 tablespoons liquid smoke | 2 bay leaves, or more to taste | 2 racks baby back pork ribs",https://www.allrecipes.com/thmb/VcyyNoAZ0ZY5EPu-F1I0LLyoNCs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5623822-instant-pot-ribs-ktskas-4x3-1-8e9dac890f6e4861972f6656e2ed0bd1.jpg,10.0,25.0,50.0,15.0,D,Short Wait,Wait time 1-30 min
Dutch Cookies,4.4,"This recipe has become a cherished family favorite, and it all began in 1965 with my older brother's 2nd grade teacher sharing it with our mother. Melt-in-your-mouth good! At holiday time, add festive sprinkles on top while chocolate is still soft. Enjoy!",,,,40,½ cup butter | ½ cup shortening | 1 cup white sugar | 2 cups all-purpose flour | ½ teaspoon baking soda | salt to taste | 1 teaspoon vanilla extract | 1 cup semi-sweet chocolate chips,https://www.allrecipes.com/thmb/9JjYfdstjPetfsQLFI8_-AsEQWM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7326-0d5d6369c00b4a7ba251d1b2fcfd72f0.jpg,,,,,,,
Chicken-Bacon Carbonara,4.7,This chicken-bacon carbonara is a meaty spin on an old classic.,20 mins,30 mins,50 mins,6,"1 pound bacon, cut into 1-inch pieces | 1 medium onion, chopped | 5 cloves garlic, sliced | ¼ cup dry red wine | 1 (16 ounce) package bow-tie pasta (farfalle) | 2 (5 ounce) skinless, boneless chicken breasts, cubed | 2 (5 ounce) skinless, boneless chicken thighs, cubed | 1 tablespoon olive oil, or more as needed | ½ teaspoon dried basil, or more to taste | ¼ teaspoon ground nutmeg, divided, or more to taste | freshly ground black pepper to taste | 4 large eggs, beaten | 1 cup heavy cream | ½ cup grated Parmesan cheese, or more to taste",https://www.allrecipes.com/thmb/SixAg7B393CWr052_m8629U-F_U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/282900chicken-bacon-carbonaraMyHotSouthernMEss4x3-cb11ef5381c94111b62b5103a294f176.jpg,20.0,30.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Saucy Shepherd's Pie,4.3,"Ground beef, onions, and carrots with tomato-basil sauce topped with mashed potatoes are baked for a delicious and easy comfort-food meal.",20 mins,45 mins,1 hr 5 mins,4,"6 potatoes, peeled and cubed | 4 carrots, peeled and sliced | ¼ cup milk | 6 tablespoons butter, divided | Salt and pepper to taste | 1 onion, finely chopped | 1 ½ pounds ground beef | 1 (15 ounce) jar Classico® Tomato and Basil Sauce",https://www.allrecipes.com/thmb/YK8iUXgdL6mpVws-psfdPlFqUYw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7390183-09322f4a33e144b5b50ca2a411331c8d.jpg,20.0,45.0,65.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Pizza Sliders,4.6,"These cheesy pizza sliders really taste like pizza (as they should) but with a hint of sweetness from the Hawaiian rolls. Trying to separate them can get messy but they are absolutely delicious. Once you get the method down, there are so many different varieties to try!",20 mins,20 mins,40 mins,12,"cooking spray | 1 ½ cups finely pre-shredded part-skim mozzarella cheese | 1 cup finely pre-shredded Italian cheese blend | ¼ cup finely chopped fresh basil | ¼ teaspoon black pepper | 2 teaspoons dried Italian seasoning, divided | 1 ⅓ cups pizza sauce | 2 tablespoons sun-dried tomato pesto | 1 (12 count) package Hawaiian sweet rolls | ¾ cup thinly sliced pepperoni | 2 tablespoons unsalted butter | 1 tablespoon grated Parmesan cheese | ¾ teaspoon garlic powder",,20.0,20.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Christmas Cranberry Salad,4.6,This creamy Christmas cranberry salad can be served frozen as well as chilled.,20 mins,,9 hrs 20 mins,8,"1 pound cranberries, finely ground | 2 cups white sugar | 1 (20 ounce) can crushed pineapple, drained | 1 (16 ounce) package miniature marshmallows | 1 cup chopped pecans (Optional) | 1 pint whipped cream, beaten stiff",https://www.allrecipes.com/thmb/ZcXtJomlolz0fEvfI7MvwKBhwOM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4239031-04e16de1bb614be181206407941bb5a4.jpg,20.0,,560.0,540.0,,,
